Country,year,gfn2gdp,efn2gdp,FCD2GDweo,grossdebt2gdpweo,externdebt2gdp,credit2privat,stdebt2extdebt,CA2gdp,debtserv2res,IntExp2rev,interExtdeb2gdp,debtserv2expor,crisis
Algeria,2003,,-3,58,1,40,8,0,8,20,9,3,23,0
Algeria,2004,,-9,56,0,34,12,0,13,14,6,2,18,0
Algeria,2005,,-8,54,0,26,11,0,13,14,4,2,18,0
Algeria,2006,-7,-16,48,0,17,11,0,21,11,2,2,13,0
Algeria,2007,3,-14,8,0,4,12,0,25,18,2,1,24,0
Algeria,2008,11,-22,13,0,4,12,0,23,1,2,0,2,0
Algeria,2009,-4,-19,18,0,3,13,0,20,1,1,0,2,0
Algeria,2010,15,0,16,0,4,13,0,0,1,1,0,2,0
Algeria,2011,5,-7,12,0,3,16,0,8,0,1,0,1,0
Algeria,2012,5,-9,10,0,2,15,0,10,1,1,0,2,0
Algeria,2013,7,-5,7,0,2,14,0,6,1,1,0,2,0
Algeria,2014,2,0,7,0,2,14,0,0,2,1,0,7,0
Algeria,2015,9,5,6,0,2,16,0,-4,3,1,0,9,0
Algeria,2016,17,17,6,0,2,18,0,-16,4,1,0,14,0
Algeria,2017,15,17,5,0,2,22,0,-17,4,1,0,14,0
Angola,1990,,,,,97,,,-1,,,0,,1
Angola,2003,14,14,0,1,67,4,0,-1,,8,1,21,0
Angola,2004,15,14,100,1,65,4,0,-5,237,5,1,15,0
Angola,2005,11,7,100,1,50,5,0,3,158,6,1,16,0
Angola,2006,-3,-10,100,0,39,5,0,18,79,4,1,10,0
Angola,2007,-7,-16,100,0,19,6,0,26,59,3,2,14,0
Angola,2008,2,-11,100,0,16,8,0,18,39,3,1,10,0
Angola,2009,7,-7,100,0,17,11,0,9,12,4,1,3,1
Angola,2012,-1,-11,58,0,19,20,0,13,7,2,0,3,0
Angola,2013,4,-11,64,0,19,20,0,12,7,2,0,3,0
Angola,2014,8,-5,73,0,24,22,0,7,8,2,0,4,0
Angola,2015,13,5,70,0,27,23,0,-3,13,3,1,6,1
Angola,2017,,7,59,1,47,27,0,-5,16,16,1,13,0
Antigua and Barbuda,1990,,,,,68,38,,,,,2,,0
Antigua and Barbuda,1991,,,73,1,72,40,0,,,19,1,,0
Antigua and Barbuda,1992,,,75,1,75,41,0,,,15,1,,0
Antigua and Barbuda,1993,,,77,1,73,42,0,,19,15,1,,0
Antigua and Barbuda,1994,,,77,1,69,45,0,,23,16,1,,0
Antigua and Barbuda,1995,,,77,1,69,43,0,,19,16,1,,0
Antigua and Barbuda,1996,,,81,1,77,39,0,,17,15,1,,1
Antigua and Barbuda,2001,,11,53,1,55,58,0,,43,27,1,,0
Antigua and Barbuda,2002,,9,51,1,60,58,0,,35,20,2,,0
Antigua and Barbuda,2003,24,11,52,1,66,62,0,,30,20,2,,1
Antigua and Barbuda,2004,24,13,50,1,63,66,0,,25,26,2,,0
Antigua and Barbuda,2005,12,15,49,1,58,65,0,,51,21,2,,0
Antigua and Barbuda,2006,22,19,38,1,35,61,0,,129,18,14,,0
Antigua and Barbuda,2007,12,26,40,1,35,60,0,,12,17,1,,0
Antigua and Barbuda,2008,8,30,43,1,33,64,0,,10,15,1,,1
Antigua and Barbuda,2014,11,16,46,1,43,70,0,,13,14,1,,0
Antigua and Barbuda,2015,11,0,45,1,46,68,0,2,20,13,2,6,0
Antigua and Barbuda,2016,14,-5,46,1,45,60,0,7,12,10,1,4,0
Antigua and Barbuda,2017,,3,47,1,41,51,0,0,20,10,1,6,0
Argentina,1990,,,,,67,20,,1,,,2,,1
Argentina,1996,,,,0,36,20,0,-2,,8,2,54,0
Argentina,1997,,,,0,39,20,0,-2,88,9,2,62,0
Argentina,1998,,,10,0,41,20,0,-4,93,10,3,69,1
Argentina,1999,,,11,0,46,22,0,-5,90,11,3,76,0
Argentina,2000,,,9,0,50,24,0,-4,102,14,4,100,1
Argentina,2006,10,23,59,1,69,10,0,2,205,7,3,122,0
Argentina,2007,9,13,60,1,70,11,0,3,128,6,2,75,0
Argentina,2008,9,8,61,1,63,12,0,2,74,6,2,52,1
Argentina,2010,11,9,62,1,54,12,0,2,87,4,1,63,0
Argentina,2011,10,9,61,0,37,12,0,0,83,3,1,53,0
Argentina,2012,11,14,62,0,32,13,0,-1,159,4,1,76,1
Argentina,2015,6,16,67,0,30,16,0,-2,279,2,1,107,0
Argentina,2016,9,14,63,1,28,14,0,-3,312,4,1,114,0
Argentina,2017,11,18,68,1,34,15,0,-3,237,5,1,132,0
Armenia,1990,,,,,,,,,,,,,0
Armenia,1991,,,,,,,,,,,,,0
Armenia,1992,,,,,,,,,,,,,0
Armenia,1993,,,,,0,,,-46,,,0,0,1
Armenia,1996,,,,,30,11,0,-17,,17,1,21,0
Armenia,1997,,,92,0,36,7,0,-18,,17,1,20,1
Armenia,1998,,,93,0,45,6,0,-19,14,17,1,10,0
Armenia,1999,,,95,0,41,6,0,-22,33,12,1,27,0
Armenia,2000,,,90,0,47,7,0,-17,20,10,1,16,0
Armenia,2001,,18,93,0,45,9,0,-16,15,10,1,11,1
Armenia,2004,7,11,92,0,63,7,0,-6,28,5,0,14,0
Armenia,2005,3,5,91,0,52,6,0,-2,18,3,0,9,0
Armenia,2006,4,4,89,0,37,7,0,-3,9,3,0,4,0
Armenia,2007,4,3,86,0,31,8,0,-2,5,2,0,4,0
Armenia,2008,4,8,85,0,32,9,0,-7,3,2,0,3,0
Armenia,2009,4,15,82,0,30,14,0,-14,4,1,0,3,1
Armenia,2013,4,12,84,0,70,35,0,-10,13,5,1,8,0
Armenia,2014,9,15,83,0,78,40,0,-7,39,5,1,28,0
Armenia,2015,5,9,85,0,71,42,0,-8,19,6,1,9,0
Armenia,2016,10,5,86,0,84,49,0,-3,22,7,1,12,0
Armenia,2017,9,3,81,1,93,46,0,-2,10,9,1,7,0
Australia,1990,,,,0,,120,,-6,,11,,,0
Australia,1991,,,,0,,121,,-5,,10,,,0
Australia,1992,,,,0,,121,,-3,,9,,,0
Australia,1993,,,,0,,119,,-3,,9,,,0
Australia,1994,,,,0,,114,,-3,,8,,,0
Australia,1995,,,,0,,112,,-5,,9,,,0
Australia,1996,,,,0,,113,,-5,,9,,,0
Australia,1997,,,,0,,114,,-3,,8,,,0
Australia,1998,,,,0,,117,,-3,,7,,,0
Australia,1999,,,,0,,124,,-5,,6,,,0
Australia,2000,,,,0,,128,,-5,,5,,,0
Australia,2001,,,,0,,135,,-4,,4,,,0
Australia,2002,,,,0,,141,,-2,,3,,,0
Australia,2003,,,,0,,144,,-4,,3,,,0
Australia,2004,,,,0,,149,,-5,,2,,,0
Australia,2005,-1,,0,0,,156,,-6,,2,,,0
Australia,2006,-2,,0,0,,166,,-6,,2,,,0
Australia,2007,-2,,0,0,,176,,-6,,2,,,0
Australia,2008,-1,,0,0,,185,,-7,,2,,,0
Australia,2009,1,,0,0,,189,,-5,,2,,,0
Australia,2010,5,,0,0,,187,,-5,,2,,,0
Australia,2011,5,,0,0,,184,,-4,,3,,,0
Australia,2012,5,,0,0,,177,,-3,,4,,,0
Australia,2013,4,,0,0,,177,,-4,,4,,,0
Australia,2014,3,,0,0,,182,,-3,,4,,,0
Australia,2015,3,,0,0,,187,,-3,,4,,,0
Australia,2016,3,,0,0,,199,,-5,,4,,,0
Australia,2017,,,0,0,,204,,-3,,4,,,0
Austria,1990,,,,1,,95,,0,,7,,,0
Austria,1991,,,,1,,99,,1,,7,,,0
Austria,1992,,,,1,,102,,0,,7,,,0
Austria,1993,,,,1,,103,,0,,7,,,0
Austria,1994,,,,1,,105,,-1,,7,,,0
Austria,1995,,,,1,,104,,-1,,7,,,0
Austria,1996,,,,1,,104,,-3,,8,,,0
Austria,1997,,,,1,,107,,-3,,8,,,0
Austria,1998,,,,1,,112,,-3,,7,,,0
Austria,1999,,,,1,,113,,-2,,7,,,0
Austria,2000,,,,1,,117,,-2,,7,,,0
Austria,2001,,,,1,,125,,-1,,7,,,0
Austria,2002,,,,1,,128,,-1,,7,,,0
Austria,2003,,,,1,,129,,2,,6,,,0
Austria,2004,,,,1,,129,,2,,7,,,0
Austria,2005,,,,1,,131,,2,,6,,,0
Austria,2006,12,,,1,,133,,2,,7,,,0
Austria,2007,11,,,1,,137,,3,,7,,,0
Austria,2008,10,,,1,,138,,4,,7,,,0
Austria,2009,6,,,1,,142,,4,,6,,,0
Austria,2010,17,,,1,,145,,3,,6,,,0
Austria,2011,13,,,1,,147,,3,,6,,,0
Austria,2012,9,,,1,,145,,2,,6,,,0
Austria,2013,11,,,1,,145,,1,,6,,,0
Austria,2014,11,65,,1,,143,,2,,5,,,0
Austria,2015,14,,,1,,145,,2,,5,,,0
Austria,2016,9,71,,1,,141,,2,,5,,,0
Austria,2017,9,33,,1,,141,,2,,4,,,0
Azerbaijan,1990,,,,,,,,,,,,,0
Azerbaijan,1991,,,,,,,,,,,,,0
Azerbaijan,1992,,,,,,,,,,,,,0
Azerbaijan,1993,,,,,0,,,-17,,,0,0,1
Azerbaijan,1996,,,82,0,16,3,,-13,,1,0,7,0
Azerbaijan,1997,,,84,0,15,1,,-26,,2,1,5,0
Azerbaijan,1998,,,80,0,10,1,,-23,,1,0,3,0
Azerbaijan,1999,,,83,0,12,2,,-32,8,0,0,3,0
Azerbaijan,2000,,,88,0,21,3,,-13,8,2,0,4,0
Azerbaijan,2001,,5,88,0,20,3,,-4,14,2,0,5,0
Azerbaijan,2002,2,2,85,0,21,6,,-1,16,1,1,5,0
Azerbaijan,2003,2,14,88,0,20,9,,-12,16,1,0,4,0
Azerbaijan,2004,2,30,90,0,20,6,,-28,20,1,0,5,0
Azerbaijan,2005,0,32,91,0,18,7,,-30,16,1,0,4,0
Azerbaijan,2006,-1,0,90,0,11,9,,1,13,1,0,2,0
Azerbaijan,2007,1,-17,87,0,8,10,,18,8,1,0,1,0
Azerbaijan,2008,0,-27,88,0,6,12,,27,7,1,0,1,0
Azerbaijan,2009,-16,-35,87,0,5,14,,34,7,0,0,1,0
Azerbaijan,2010,-5,-21,62,0,6,16,,23,15,0,0,3,0
Azerbaijan,2011,-13,-28,58,0,6,19,,28,4,0,0,1,0
Azerbaijan,2012,-10,-26,65,0,6,18,,26,4,0,0,1,0
Azerbaijan,2013,-3,-22,65,0,6,17,,21,2,0,0,1,0
Azerbaijan,2014,0,-15,72,0,6,20,,17,4,0,0,2,0
Azerbaijan,2015,-3,-13,74,0,8,25,,14,3,0,0,1,0
Azerbaijan,2016,8,2,68,0,24,31,,0,18,1,0,4,0
Azerbaijan,2017,,6,59,1,45,39,,-4,33,1,1,7,0
Bahamas. The,1990,,,,,3,44,,-2,,,1,,0
Bahamas. The,1991,,,15,0,4,43,,-1,33,14,1,3,0
Bahamas. The,1992,,,16,0,7,46,,-4,20,15,0,2,0
Bahamas. The,1993,,,15,0,7,49,,1,40,15,0,4,0
Bahamas. The,1994,,,12,0,7,51,,6,42,14,0,4,0
Bahamas. The,1995,,,10,0,6,54,,4,43,13,1,4,0
Bahamas. The,1996,,,8,0,5,57,,2,41,12,0,4,0
Bahamas. The,1997,,,7,0,5,60,,0,49,13,1,4,0
Bahamas. The,1998,,,8,0,5,62,,-5,37,14,0,4,0
Bahamas. The,1999,,,7,0,5,51,,-10,24,12,0,4,0
Bahamas. The,2000,,,7,0,5,53,,1,13,12,0,2,0
Bahamas. The,2001,,7,7,0,4,52,,-2,16,10,0,2,0
Bahamas. The,2002,1,10,7,0,4,57,,-4,23,10,0,3,0
Bahamas. The,2003,4,5,5,0,3,60,,0,19,12,0,3,0
Bahamas. The,2004,4,7,5,0,4,58,,0,36,11,0,6,0
Bahamas. The,2005,5,3,15,0,4,59,,2,7,12,0,2,0
Bahamas. The,2006,4,9,13,0,3,61,,-3,6,11,0,1,0
Bahamas. The,2007,2,18,12,0,3,64,,-10,6,10,0,1,0
Bahamas. The,2008,4,12,11,0,3,72,,-9,13,10,0,2,0
Bahamas. The,2009,3,11,14,0,4,75,,-8,7,10,0,1,0
Bahamas. The,2010,6,11,14,0,8,79,,-8,10,12,0,3,0
Bahamas. The,2011,8,11,21,0,9,84,,-8,15,14,1,4,0
Bahamas. The,2012,8,14,21,0,10,83,,-11,7,15,0,2,0
Bahamas. The,2013,7,17,21,0,14,84,,-14,15,13,1,4,0
Bahamas. The,2014,9,17,23,0,15,62,,-14,16,15,1,4,0
Bahamas. The,2015,11,22,29,0,19,61,,-20,16,15,1,4,0
Bahamas. The,2016,8,14,28,1,19,60,,-14,18,14,1,4,0
Bahamas. The,2017,8,13,29,1,21,57,,-8,18,14,1,5,0
Bahrain,1990,,,,,15,35,,-4,,0,4,,0
Bahrain,1991,,,40,0,38,33,0,1,15,4,1,4,0
Bahrain,1992,,,38,0,35,30,0,-12,16,2,2,5,0
Bahrain,1993,,,38,0,32,35,0,-15,14,2,1,4,0
Bahrain,1994,,,39,0,37,38,0,-6,16,3,1,4,0
Bahrain,1995,,,40,0,44,42,0,-4,17,3,1,5,0
Bahrain,1996,,,18,0,38,44,0,3,18,4,1,4,0
Bahrain,1997,,,18,0,35,43,0,4,19,3,1,4,0
Bahrain,1998,,,20,0,43,42,0,0,20,3,1,5,0
Bahrain,1999,,,16,0,49,45,0,-11,23,4,2,7,0
Bahrain,2000,,,15,0,52,50,0,0,19,5,1,4,0
Bahrain,2001,,-6,15,0,51,52,0,9,36,5,2,6,0
Bahrain,2002,,2,16,0,51,41,0,2,39,5,2,7,0
Bahrain,2003,12,5,18,0,52,42,0,-1,42,4,2,7,0
Bahrain,2004,9,2,33,0,57,44,0,2,46,4,2,7,0
Bahrain,2005,0,0,31,0,57,42,0,4,45,4,2,6,0
Bahrain,2006,0,-6,32,0,48,44,0,9,41,4,2,5,0
Bahrain,2007,2,-7,34,0,68,44,0,12,41,4,2,6,0
Bahrain,2008,3,-9,38,0,139,45,0,13,33,3,2,6,0
Bahrain,2009,0,0,28,0,173,53,0,9,70,2,2,10,0
Bahrain,2010,9,4,35,0,179,64,0,2,63,3,4,12,0
Bahrain,2011,9,2,38,0,167,71,0,3,45,4,4,10,0
Bahrain,2012,7,-5,39,0,147,68,0,9,46,4,3,7,0
Bahrain,2013,13,-5,45,0,145,70,0,8,35,5,2,6,0
Bahrain,2014,20,-4,45,0,150,69,0,7,36,6,3,6,0
Bahrain,2015,12,1,46,0,154,70,0,5,43,7,3,8,0
Bahrain,2016,31,6,40,1,174,64,0,-2,56,13,3,7,0
Bahrain,2017,36,6,43,1,183,74,0,-5,68,17,3,7,0
Barbados,1990,,,,,27,,,0,,,2,,0
Barbados,1991,,,,,27,,0,-2,,,3,17,0
Barbados,1992,,,,,28,36,0,-1,,,3,19,0
Barbados,1993,,,,,29,38,0,7,,,2,18,0
Barbados,1994,,,,,25,39,0,3,,,2,12,0
Barbados,1995,,,28,1,23,37,0,6,23,13,1,5,0
Barbados,1996,,,28,1,21,39,0,3,23,14,1,5,0
Barbados,1997,,,27,1,19,42,0,4,18,14,1,4,0
Barbados,1998,,,25,1,18,41,0,-1,15,12,1,4,0
Barbados,1999,,,24,0,15,43,0,-3,17,12,1,4,0
Barbados,2000,,,27,0,16,44,0,-4,18,13,1,4,0
Barbados,2001,,4,32,1,20,47,0,-4,15,11,1,5,0
Barbados,2002,4,4,36,1,25,47,0,-4,12,12,1,7,0
Barbados,2003,6,6,34,1,23,58,0,-5,14,13,2,8,0
Barbados,2004,3,5,32,1,23,59,0,-4,14,12,2,8,0
Barbados,2005,13,12,30,1,23,61,0,-10,17,11,1,7,0
Barbados,2006,10,13,32,1,34,66,0,-11,17,11,1,6,0
Barbados,2007,12,11,35,1,35,71,0,-10,20,12,1,6,0
Barbados,2008,15,7,33,1,33,73,0,-5,15,12,2,6,0
Barbados,2009,17,12,29,1,34,74,0,-10,20,13,2,7,0
Barbados,2010,21,8,31,1,43,79,0,-7,16,15,2,7,0
Barbados,2011,29,11,31,1,47,83,0,-6,43,18,2,16,0
Barbados,2012,23,14,30,1,46,,0,-12,20,17,2,7,0
Barbados,2013,34,11,26,1,45,,0,-8,19,19,2,7,0
Barbados,2014,43,11,26,1,48,,0,-8,24,21,1,7,0
Barbados,2015,41,11,25,1,48,,0,-9,26,22,2,7,0
Barbados,2016,47,10,24,1,47,,0,-6,46,22,2,11,0
Barbados,2017,,7,22,1,45,,0,-4,53,23,2,9,0
Belarus,1990,,,,,,,,,,,,,0
Belarus,1991,,,,,,,,,,,,,0
Belarus,1992,,,,,,,,,,,,,1
Belarus,1996,,,,,30,18,0,-5,,,2,6,0
Belarus,1997,,,,,12,6,0,-4,165,1,1,11,0
Belarus,1998,,,,,14,6,0,-6,318,1,1,15,0
Belarus,1999,,,,,15,8,0,-7,299,1,1,14,1
Belarus,2001,,16,,,16,9,0,-4,454,2,1,19,0
Belarus,2002,,16,,,24,9,0,-4,415,2,0,17,0
Belarus,2003,,17,,,27,0,0,-2,477,1,0,24,0
Belarus,2004,,18,,,23,0,0,-3,554,1,0,24,0
Belarus,2005,,18,,0,21,0,0,-5,385,1,0,19,0
Belarus,2006,,12,,0,17,14,0,2,318,1,0,23,0
Belarus,2007,,14,,0,19,16,0,-4,281,1,0,17,0
Belarus,2008,,18,,0,28,20,0,-7,127,1,1,19,0
Belarus,2009,0,22,,0,25,25,0,-8,286,1,1,24,1
Belarus,2012,-1,31,,1,55,43,0,-8,179,3,1,30,0
Belarus,2013,5,27,,0,51,38,0,-3,215,4,2,33,0
Belarus,2014,6,30,,0,52,22,0,-10,251,2,2,37,0
Belarus,2015,8,33,,0,51,23,0,-7,437,3,1,50,0
Belarus,2016,6,35,,1,68,24,0,-3,452,4,2,57,0
Belarus,2017,,37,,1,79,28,0,-4,343,5,2,56,0
Belgium,1990,,,,1,,88,,2,,25,,,0
Belgium,1991,,,13,1,,91,,2,,26,,,0
Belgium,1992,,,12,1,,94,,2,,24,,,0
Belgium,1993,,,10,1,,98,,3,,24,,,0
Belgium,1994,,,14,1,,108,,5,,23,,,0
Belgium,1995,,,12,1,,109,,5,,19,,,0
Belgium,1996,,,10,1,,107,,5,,19,,,0
Belgium,1997,,,7,1,,107,,5,,17,,,0
Belgium,1998,,,7,1,,114,,5,,16,,,0
Belgium,1999,,,6,1,,119,,5,,15,,,0
Belgium,2000,,,3,1,,132,,8,,14,,,0
Belgium,2001,,,3,1,,141,,4,,14,,,0
Belgium,2002,,,2,1,,149,,3,,13,,,0
Belgium,2003,,,2,1,,149,,4,,12,,,0
Belgium,2004,16,,1,1,219,151,0,3,,11,,,0
Belgium,2005,17,137,1,1,235,156,0,3,,10,,,0
Belgium,2006,19,154,1,1,266,157,0,2,,9,,,0
Belgium,2007,15,186,1,1,267,158,0,2,,8,,,0
Belgium,2008,16,189,0,1,300,165,0,1,,8,,,0
Belgium,2009,19,217,1,1,323,182,0,-1,,8,,,0
Belgium,2010,27,201,0,1,297,200,0,-1,,8,,,0
Belgium,2011,25,153,0,1,279,196,0,2,,7,,,0
Belgium,2012,26,133,0,1,286,196,0,-1,,7,,,0
Belgium,2013,26,136,0,1,275,203,0,0,,7,,,0
Belgium,2014,23,115,0,1,245,209,0,0,,6,,,0
Belgium,2015,19,83,0,1,259,206,0,-1,,6,,,0
Belgium,2016,20,86,0,1,256,213,0,0,,6,,,0
Belgium,2017,,84,0,1,274,223,0,0,,6,,,0
Belize,1990,,,,,36,31,,-5,,5,1,,0
Belize,1991,,,,,32,32,0,4,24,4,1,7,0
Belize,1992,,,,,34,32,0,-6,30,3,1,7,0
Belize,1993,,,,,29,37,0,-6,25,3,1,5,0
Belize,1994,,,,,30,36,0,-9,46,7,1,6,0
Belize,1995,,,,,31,34,0,-7,71,7,1,9,0
Belize,1996,,,,,34,35,0,-3,78,7,1,10,0
Belize,1997,,,,,42,35,0,-1,51,8,1,10,0
Belize,1998,,,,,47,37,0,-5,52,8,2,9,0
Belize,1999,,,,,49,41,0,-6,75,8,2,10,0
Belize,2000,,,,,48,44,0,-8,47,9,2,8,0
Belize,2001,,23,,,66,44,0,-18,42,11,2,12,0
Belize,2002,,27,86,1,75,41,0,-21,70,12,4,18,0
Belize,2003,20,33,90,1,86,44,0,-17,294,17,21,69,0
Belize,2004,18,28,88,1,96,47,0,-17,277,22,14,45,0
Belize,2005,14,26,87,1,90,51,0,-13,604,38,16,54,0
Belize,2006,18,27,88,1,90,53,0,-12,616,26,26,70,1
Belize,2008,48,51,86,1,80,55,0,-3,1253,16,59,165,0
Belize,2009,1,14,85,1,73,60,0,-11,113,13,10,22,1
Belize,2010,5,7,87,1,82,63,0,-5,74,13,9,22,0
Belize,2011,3,4,85,1,76,67,0,-3,66,12,8,18,1
Belize,2014,6,10,85,1,68,57,0,-4,57,9,9,22,0
Belize,2015,4,10,86,1,67,57,0,-8,31,9,7,13,0
Belize,2016,8,12,83,1,67,56,0,-10,35,8,6,13,1
Bolivia,1990,,,,,84,17,,1,,17,3,,1
Bolivia,1991,,,,,78,21,,-4,,14,3,34,0
Bolivia,1992,,,,,68,24,,-5,,13,3,30,1
Bolivia,1993,,,,,67,29,,-7,,12,2,31,0
Bolivia,1994,,,,,70,36,,-7,,12,2,33,0
Bolivia,1995,,,,,75,45,,-4,,11,2,25,1
Bolivia,1996,,,,,71,50,,-5,,12,3,42,0
Bolivia,1997,,,,,63,48,,-5,30,11,2,26,0
Bolivia,1998,,,,,57,53,,-7,30,9,2,25,1
Bolivia,1999,,,,,55,58,,-8,37,8,2,29,0
Bolivia,2000,,,,,55,64,,-6,22,8,1,19,0
Bolivia,2001,,10,,1,53,64,,-5,21,9,1,15,1
Bolivia,2002,,7,,1,55,59,,-3,19,10,1,14,0
Bolivia,2003,,10,,1,56,54,,-4,32,11,1,17,0
Bolivia,2004,,4,,1,75,51,0,1,44,12,1,22,0
Bolivia,2005,9,2,,1,68,48,0,4,34,11,1,15,0
Bolivia,2006,5,-2,,1,64,43,0,6,23,10,1,12,0
Bolivia,2007,-2,-7,,1,40,45,0,11,13,7,1,9,0
Bolivia,2008,0,-7,,0,26,38,0,11,7,7,1,8,0
Bolivia,2009,-1,-9,,0,22,37,0,12,6,5,1,7,0
Bolivia,2010,2,-1,,0,20,35,0,4,5,5,0,8,0
Bolivia,2011,1,0,,0,20,37,0,4,7,4,0,9,0
Bolivia,2012,2,3,,0,18,40,0,0,7,3,0,9,0
Bolivia,2013,1,-3,,0,18,41,0,7,7,3,0,8,0
Bolivia,2014,0,-1,,0,20,44,0,3,3,2,0,3,0
Bolivia,2015,4,0,,0,26,47,0,2,15,2,1,16,0
Bolivia,2016,8,7,,0,29,50,0,-6,28,3,1,37,0
Bolivia,2017,,7,,0,31,58,0,-6,22,3,1,26,0
Bosnia and Herzegovina,1990,,,,,,,,,,,,,0
Bosnia and Herzegovina,1991,,,,,,,,,,,,,0
Bosnia and Herzegovina,1992,,,,,,,,,,,,,0
Bosnia and Herzegovina,1993,,,,,,,,,,,,,0
Bosnia and Herzegovina,1994,,,,,,,,,,,,,0
Bosnia and Herzegovina,1995,,,,,,,,,,,,,0
Bosnia and Herzegovina,1996,,,,,,,,,,,,,0
Bosnia and Herzegovina,1997,,,,,,,,,,,,,0
Bosnia and Herzegovina,1998,,,,,,,,,,,,,1
Bosnia and Herzegovina,1999,,,,1,,60,,-7,,2,,,0
Bosnia and Herzegovina,2000,,,,1,50,58,0,-9,,2,2,16,1
Bosnia and Herzegovina,2001,,10,,0,34,48,0,-7,,2,3,21,0
Bosnia and Herzegovina,2002,4,20,,0,50,37,0,-13,,2,3,38,0
Bosnia and Herzegovina,2003,4,24,,0,51,26,0,-18,,2,3,36,0
Bosnia and Herzegovina,2004,1,24,,0,51,30,0,-19,,2,2,28,0
Bosnia and Herzegovina,2005,1,22,,0,49,35,0,-16,32,1,2,27,0
Bosnia and Herzegovina,2006,0,21,,0,51,37,0,-17,25,1,1,18,0
Bosnia and Herzegovina,2007,-1,14,,0,46,42,0,-8,27,1,2,22,0
Bosnia and Herzegovina,2008,0,15,,0,48,43,0,-9,25,1,2,29,0
Bosnia and Herzegovina,2009,4,24,,0,45,49,0,-14,51,1,2,43,1
Bosnia and Herzegovina,2011,5,18,,0,64,53,0,-6,56,1,2,48,0
Bosnia and Herzegovina,2012,4,21,,0,62,53,0,-9,58,1,2,42,1
Bosnia and Herzegovina,2014,6,20,,0,62,55,0,-5,57,2,1,47,0
Bosnia and Herzegovina,2015,8,21,,0,64,55,0,-7,55,2,1,43,0
Bosnia and Herzegovina,2016,5,21,,0,63,55,0,-6,57,2,1,49,1
Botswana,1990,,,,,20,7,,14,,,1,,0
Botswana,1991,,,,,19,7,0,-1,,,1,12,0
Botswana,1992,,,,,22,9,0,8,,,1,11,0
Botswana,1993,,,,,21,12,0,5,,,1,15,0
Botswana,1994,,,,,21,15,0,11,,,3,23,0
Botswana,1995,,,,,44,14,0,5,10,,3,21,0
Botswana,1996,,,,,32,14,0,6,10,,3,20,0
Botswana,1997,,,,,34,12,0,10,10,,2,21,0
Botswana,1998,,,,,35,10,0,14,10,,3,19,0
Botswana,1999,,,,0,38,10,0,4,10,,3,25,0
Botswana,2000,,,,0,34,12,0,11,9,,3,19,0
Botswana,2001,,-2,100,0,41,14,0,9,9,1,3,19,0
Botswana,2002,1,-3,83,0,32,15,0,12,11,1,3,24,0
Botswana,2003,4,2,100,0,21,17,0,5,10,1,3,20,0
Botswana,2004,2,-3,49,0,17,19,0,9,9,1,1,13,0
Botswana,2005,-1,1,51,0,13,20,0,4,10,2,1,13,0
Botswana,2006,-10,-11,56,0,15,22,0,16,9,1,1,11,0
Botswana,2007,-13,-12,56,0,15,20,0,19,10,1,1,16,0
Botswana,2008,-4,-9,33,0,20,20,0,15,8,1,1,14,0
